"comid","do_stream_mg_l","doc_stream_mg_l","no3_stream_mg_l"
23099618,9.963771929,2.369242169,2.35651771939204
23099620,9.961961854,2.207653121,2.37212890109259
23099622,9.959742188,2.219375007,2.38903987416635
23099624,10.02936594,2.495788403,2.68564248749735
23099626,10.05990795,2.008202447,2.80595758202691
23099628,10.08191504,1.840754119,3.0315352176462
23099630,10.11914952,1.74343828,3.3375457388016
23099632,10.11608932,1.67914262,3.37452215815703
23099634,9.947746303,1.978758459,3.98523450884788
23099636,9.888203705,2.07789125,4.11255632546079
23099638,9.985274025,2.155854741,4.31165759705097
23099640,10.09151235,2.270147186,4.55364950140544
23099642,10.21858581,2.390828768,4.90513953171254
23099644,10.30013514,2.486619887,5.15654896756439
23099646,10.31750842,2.485605747,5.2074471771652
23099648,10.33098877,2.495334198,5.23542969150279
23099650,10.34300168,2.530576123,5.29034286599568
23099652,10.57447025,2.99548301,6.87013575231377
23099654,10.56129477,3.984525409,8.3162
23099656,11.6343164,2.305934309,0.579680888820916
23099658,11.66463529,2.410515761,0.574776658525296
23099660,10.89600127,2.407550208,0.574714016332986
23099662,10.89600037,2.857442601,0.574713234028052
23099664,10.90071808,2.296624983,0.413670361243794
23099666,11.63514334,2.294586622,0.412114334525814
23099668,11.58310631,2.276936198,0.408993697274538
23099670,10.89967585,2.414257663,0.408984472113878
23099672,10.8996545,2.37696951,0.408928115222366
23099674,10.89955782,2.290136049,0.40851681817462
23099676,10.89953523,2.399395448,0.40846842745425
23099678,10.89928047,2.333651731,0.406722089572152
23099680,10.90821034,2.840056191,0.479460982048554
23099682,10.9081788,2.310943008,0.479460978888398
23099684,10.91841713,2.388341774,0.450380530969586
23099686,10.91772064,2.375238727,0.448273890978142
23099688,10.92222476,2.31362209,0.446063443770712
23099690,10.92214498,2.310144551,0.445871566333486
23099692,10.95944199,2.331219434,0.442332079178462
23099694,10.94296459,2.54649478,0.453542727266094
23099696,10.94773553,2.956860545,0.453208935455946
23099698,10.9477278,2.47396607,0.453208703849776
23099700,10.94753508,2.453841273,0.45221248188531
23099702,10.94753399,2.566618897,0.452212459764218
23099704,10.94749781,2.524786552,0.452068742938108
23099706,10.94749527,2.524786552,0.45206874801099
23099708,10.94749527,2.954194731,0.45206874260546
23099710,10.94748329,2.954194731,0.452063960956784
23099712,10.94747942,2.565682882,0.45206266180002
23099714,10.94741961,2.445566726,0.451619994382634
23099716,10.94737674,2.549682386,0.45155885517715
23099718,10.94737516,2.445230585,0.451557966840666
23099720,10.94733397,2.49177502,0.451514919944092
23099722,10.99439227,2.539337467,0.448451104709394
23099724,10.994392,2.558630061,0.448450905869052
23099726,10.99437341,2.581731847,0.448435593748964
23099728,10.99436893,2.982105493,0.448433876536826
23099730,11.04458939,2.935401496,0.395859252661466
23099732,11.05221326,2.498816266,0.383858565989644
23099734,11.05215141,2.543660707,0.383394840706428
23099736,11.05202721,2.530280824,0.382247013584342
23099738,11.05675632,2.909289075,0.381401174545582
23099742,11.05609221,2.39424431,0.380108097006944
23099744,11.05588645,2.461411645,0.378990672830952
23099746,11.05588446,2.444251807,0.378989117285742
23099748,11.05588232,2.518369895,0.378987409554072
23099750,11.05568466,2.514701314,0.378194756439764
23099752,11.05566783,2.60077025,0.378182011197968
23099754,11.05983337,2.442272201,0.375104209279138
23099756,11.05983237,2.450162524,0.375104208780166
23099758,11.05982821,2.405670403,0.375104014596896
23099760,11.05982678,2.458104965,0.375103997548686
23099762,11.05981746,2.39120948,0.3751032696317
23099764,11.05981244,2.40099201,0.375100596056562
23099766,11.05981072,2.413173299,0.375100299584032
23099768,11.05980871,2.408483181,0.37510006581565
23099770,11.06389214,2.388449857,0.37193645360293
23099772,11.06387036,2.280874651,0.371497710350838
23099774,11.06387036,2.484151305,0.37149769338579
23099776,11.06386676,2.522284643,0.37149533574309
23099778,11.06385796,2.41742744,0.371489978530212
23099780,11.06380747,2.889200699,0.37139617586915
23099782,11.06380458,2.889200699,0.371395945676734
23099784,11.06379881,2.370886017,0.371389479165938
23099786,11.06379188,2.888982763,0.371373800634078
23099788,11.06378957,2.888982763,0.371371762333458
23099790,11.063789,2.501157268,0.371371706032784
23099792,11.06376605,2.3377022,0.371361610664956
23099794,11.06376331,2.384738203,0.371360320489688
23099796,11.06376042,2.378852637,0.37136015466466
23099798,11.06375234,2.459755972,0.371358095906188
23099800,11.06370744,2.442382002,0.371319014340098
23099802,11.0637031,2.371973672,0.371318669633608
23099804,11.06363897,2.414085839,0.371216699882012
23099806,11.06358016,2.320437296,0.370914435534522
23099808,11.06344148,2.339097272,0.370482780761824
23099810,11.06339431,2.32703793,0.370361139787586
23099812,11.09666356,2.886352265,0.370139762876234
23099814,11.09666182,2.332971934,0.37013929326042
23099816,11.09663241,2.340431425,0.370126595171478
23099818,11.09663154,2.391933883,0.3701264438998
23099820,11.0966285,2.356701362,0.370126042393664
23099822,11.0965482,2.333073022,0.37002770482558
23099824,11.09654545,2.393658006,0.370026668128088
23099826,11.09652355,2.312238246,0.370013180748604
23099828,11.09639211,2.298308268,0.36991778753113
23099830,11.09635437,2.444843103,0.369899046225972
23099832,11.0963519,2.886424898,0.369897092501106
23099834,11.09635117,2.371917691,0.369896512030346
23099836,11.09634958,2.381483253,0.369895497537108
23099838,11.09634813,2.351579207,0.369894864674288
23099840,11.09634609,2.886424898,0.369894400547166
23099842,11.09634595,2.302876482,0.369905991583564
23099844,11.08994412,2.311881611,0.36685648620053
23099846,11.13654662,2.905532889,0.36254837359521
23099848,11.13653579,2.90524013,0.328180955581698
23099850,11.13653531,2.90524013,0.328180888469964
23099852,11.14320796,2.896657453,0.323563844752262
23099854,11.14320747,2.544427451,0.323563775311992
23099856,11.14320372,2.896657453,0.323563462622872
23099858,11.14319004,2.575864546,0.323556992785596
23099860,11.1431731,2.512670264,0.323551327873318
23099862,11.14308085,2.510334063,0.26614700149085
23099864,11.14301579,2.895752613,0.266111725750528
23099866,11.14300828,2.534231938,0.26611045969224
23099868,11.14300502,2.687533823,0.266108344633094
23099870,11.14294155,2.441431867,0.266076773593548
23099872,11.14293502,2.338015225,0.311260184028442
23099874,11.14287691,2.291051842,0.311237859023218
23099876,11.14287054,2.315603724,0.311236826068016
23099878,11.1428583,2.358137943,0.31123328810705
23099880,11.14279966,2.310728534,0.311205557571826
23099882,10.32278223,2.855950787,0.52309429862571
23099884,10.32277905,2.28319081,0.523093146083552
23099886,10.50602718,2.114665275,0.249673514176572
23099888,10.49772045,2.096401823,0.243922114666002
23099890,10.58384759,2.022691573,0.243242210844892
23099892,10.59970003,1.960303662,0.23588280786737
23099894,10.60934476,1.821157057,0.213089403406268
23099896,10.60312432,1.858370737,0.212610302134548
23099898,10.61688396,1.878769725,0.212319748992546
23099900,10.61077454,1.864278006,0.211583417259576
23099902,10.65258268,1.755002032,0.204830085548972
23099906,10.61494764,1.645497804,0.192266563118222
23099908,10.65679918,1.486478044,0.191785815322064
23099910,10.66287913,1.257549448,0.19021029942306
23099912,10.66205893,1.266348279,0.189816734260116
23099914,10.67418651,0.781818182,0.18797736313178
23099916,10.65939966,0.781818182,0.18349364772631
23099918,10.69697039,0.781818182,0.180266896262006
23099920,10.67543199,0.837108305,0.17808498501377
23099922,10.6838696,0.864144088,0.177616082896054
23099924,10.68828626,0.848248458,0.177470671644194
23099926,10.7005641,0.826925986,0.176783109351342
23099928,10.64694633,0.781818182,0.204229665223116
23099930,10.71060695,0.781818182,0.203538618442464
23099932,10.81779385,0.781818182,0.206867043767968
23099934,10.72071761,0.781818182,0.21161592254103
23099936,10.66954453,0.922824396,0.170321659960986
