"comid","logq_hz_lateral_m_div_s_fill"
23099630,-7.81247927916354
23099632,-7.74957999769111
23099634,-7.65560772631489
23099636,-7.84163750790475
23099638,-7.71896663275227
23099640,-7.88272870434424
23099642,-7.75202673363819
23099644,-8.04095860767891
23099646,-7.83564714421556
23099648,-7.88605664769316
23099650,-7.58670023591875
23099652,-7.41793663708829
23099654,-7.89096403121948
23099656,-6.09415017335768
23099658,-5.92485467294615
23099660,-5.30164713209893
23099662,-8.33364772796631
23099664,-8.7847728729248
23099666,-9.30214881896973
23099668,-9.97082424163818
23099670,-9.65168476104736
23099672,-9.43374824523926
23099674,-9.5312671661377
23099676,-5.99080414648048
23099678,-8.19382002601611
23099680,-7.42250820016277
23099682,-7.05924558639526
23099684,-7.57550144195557
23099686,-6.69654512405396
23099688,-9.69897000433602
23099690,-9.30143070220947
23099692,-9.75568866729736
23099694,-8.0268721464003
23099696,-9.48166561126709
23099698,-7.89962945488244
23099700,-8.56056308746338
23099702,-6.66494348056091
23099704,-9.50814914703369
23099706,-9.4297571182251
23099708,-9.66594219207764
23099710,-9.38474369049072
23099712,-9.78059673309326
23099714,-6.32202824718926
23099716,-7.0268721464003
23099718,-8.58502665202918
23099720,-7.71669877129645
23099722,-8.28752613067627
23099724,-5.98129950133376
23099726,-6.52119207382202
23099728,-5.87315455935081
23099730,-7.0565054840939
23099732,-9.75621509552002
23099734,-6.84557602688535
23099736,-7.62342304294349
23099738,-8.4544038772583
23099742,-6.72792621249999
23099744,-6.76759195327759
23099746,-7.27013254165649
23099748,-5.16671898532344
23099750,-8.50863830616573
23099752,-8.30102999566398
23099754,-8.35654732351381
23099756,-6.40110011293612
23099758,-5.34861536428522
23099760,-5.85595536288905
23099762,-5.68430248555042
23099764,-5.82704697245364
23099766,-6.72399801003795
23099768,-5.55004360005646
23099770,-7.13076828026902
23099772,-7.94421720504761
23099774,-6.11148353892505
23099776,-5.61498390986405
23099778,-6.31984585826563
23099780,-6.43985416015095
23099782,-8.1619930267334
23099784,-7.0894136428833
23099786,-6.38531365771799
23099788,-5.93674172004954
23099790,-5.5655428773123
23099792,-5.87853864645401
23099794,-5.82652235654701
23099796,-6.72561120444962
23099798,-5.38589408904197
23099800,-7.74957999769111
23099802,-5.51887281535592
23099804,-5.57796856934638
23099806,-6.03767802727042
23099808,-5.85387196432176
23099810,-5.69779898939462
23099812,-9.09691001300806
23099814,-6.44733178388781
23099816,-6.16787445746599
23099818,-5.68417654224884
23099820,-5.7480456017726
23099822,-5.75251773932295
23099824,-5.34622808931527
23099826,-7.00656376950239
23099828,-6.55564287434397
23099830,-5.11675318750408
23099832,-6.52672624588013
23099834,-5.66482302722997
23099836,-6.60959484351992
23099838,-7.21395878975745
23099840,-7.98903226852417
23099842,-8.17392519729917
23099844,-7.48412615628832
23099846,-6.07504911108439
23099848,-6.53008508682251
23099850,-5.56674234360265
23099852,-6.95742448755981
23099854,-5.09798622421219
23099856,-5.96517108434416
23099858,-6.39415646094191
23099860,-4.70491694074834
23099862,-5.14196234781964
23099864,-6.51413667040267
23099866,-5.5787910658649
23099868,-5.93318972437417
23099870,-5.34348017143263
23099872,-5.11062545420599
23099874,-6.3926043510437
23099876,-8.58502665202918
23099878,-5.21797193097296
23099880,-7.65757731917779
23099882,-9.83154106140137
23099884,-6.57872520878965
23099886,-5.75965047325778
23099888,-5.48695561938808
23099890,-5.36772496751519
23099892,-5.07981403959885
23099894,-5.02920232393334
23099896,-4.81918336027139
23099898,-4.73795491614562
23099900,-4.82950945996848
23099902,-4.88501892244809
23099906,-4.63550904086211
23099908,-4.54502410949529
23099910,-4.77575967333842
23099912,-4.79870394967811
23099914,-5.44564533233643
23099916,-4.79360323541287
23099918,-4.83810517378104
23099920,-4.97048902511597
23099922,-5.27531461176264
23099924,-4.99224795586617
23099926,-4.69868997469505
23099928,-4.65137002468731
23099930,-4.73878948767071
23099932,-4.65904059022746
23099934,-4.98200067341397
23099936,-4.91313141733962
23099938,-4.97686693630274
23099940,-4.65585933626184
23099942,-4.96358271507601
23099944,-4.49162652047781
23099946,-4.05571872925628
23099948,-4.84507719437942
23099950,-5.0031476020813
23099952,-4.52047219563132
23099954,-4.24220016256481
23099956,-4.49525600528664
23099958,-4.93756198883057
23099960,-4.50125950075665
23099962,-4.60853317844237
23099964,-5.01416951014161
23099966,-4.60767596157755
23099968,-4.4677604567496
23099970,-4.24011392996368
23099972,-4.44480878348859
23099974,-4.18792329857673
23099976,-6.08286224724356
23099978,-4.35156875104814
23099980,-4.80765024667836
23099982,-4.57191868582322
23099984,-4.5560005105457
23099986,-4.76767998479016
23099988,-5.63455200195312
23099990,-5.00161422877722
23099992,-4.47345138109001
23099994,-4.85839033532444
23099996,-4.64516578129495
23099998,-5.13019351402723
23100000,-4.87058404455513
23100002,-4.76924462595801
23100004,-5.02138586179867
23100006,-4.58207680887701
23100008,-4.54789294947015
23100010,-5.01774686294085
23100012,-4.7417028163201
23100014,-4.5457767777482
23100016,-4.13387821919278
23100018,-4.64669842628562
23100020,-6.9434762759209
23100022,-7.17896938323975
23100024,-7.31785492362617
23100026,-7.10812187194824
23100028,-7.76217603683472
23100030,-8.50863830616573
23100034,-9.74993228912354
23100038,-7.01863449092146
23100052,-7.94309514866353
23100054,-8.69897000433602
23100056,-8.57206439971924
23100058,-7.35753547975788
23100060,-7.13608262304214
23100062,-7.68613277963085
23100064,-8.08618614761628
23100066,-7.27083521030723
23100068,-6.29929628285498
23100070,-6.58103616929638
23100072,-6.61030245179361
23100074,-6.0517337801197
23100076,-5.79425445905734
23100078,-6.14611934987546
23100080,-6.08539243222892
23100082,-6.53595779456119
23100084,-6.18970025895983
23100086,-5.83478536008967
23100088,-5.65556842542514
23100090,-7.03789377212524
23100092,-6.19558794086229
23100094,-5.80773928135796
23100096,-5.22454975720684
23100098,-5.41082142508903
23100100,-5.36467713278756
23100102,-5.06342091720209
23100104,-4.97248323121888
23100106,-5.05691623000096
23100108,-4.5755970040341
23100110,-4.53997684514323
23100112,-4.70036851040038
23100114,-5.03180667765347
23100116,-5.04839537995159
23100118,-4.66625657921758
23100120,-4.75225498223314
23100122,-4.66569908305585
23100124,-5.04314032340875
23100126,-4.28093292198263
23100128,-4.89111969931633
23100130,-4.79289312192259
23100132,-5.01901994858718
23100134,-4.91304498730824
23100136,-6.14074158253269
23100138,-5.96826846005417
23100140,-5.86745215753442
23100142,-4.97728714158267
23100144,-5.04590188994018
23100146,-5.29731292442399
23100148,-6.87942606879415
23100150,-6.12084675381575
23100152,-5.94630706121505
23100154,-5.32427663579063
23100156,-5.04525110899696
23100158,-5.051616835768
23100160,-5.0264255486933
23100162,-6.02268802660307
23100164,-9.76324367523193
23100166,-4.95238639820421
23100168,-5.84205994403523
23100170,-5.24424706866349
23100172,-5.40431643264473
23100174,-5.10503077122213
23100176,-4.65148680347823
23100178,-5.12884855270386
23100180,-4.81707488084771
23100182,-4.97028352597173
23100184,-4.72803532209289
23100186,-4.80195630594984
23100188,-4.90803775223672
23100190,-4.53926448447619
23100192,-4.52725232439731
23100194,-4.42280587430039
23100196,-5.19898753702346
23100198,-5.37281855285247
23100200,-4.76664085944485
23100202,-4.66470662075783
23100204,-4.90697776921944
23100206,-4.65368028360742
23100208,-4.57844707282505
23100210,-4.77383331657092
23100212,-5.08587962725802
23100214,-4.71680283348235
23100216,-4.94566277554569
23100218,-4.43241259132593
23100220,-4.6299516153261
23100222,-4.8293804325725
23100224,-4.51154235657529
23100226,-4.60664594840095
23100228,-4.66258267261478
23100230,-4.61490159374358
23100232,-4.49869694370611
23100234,-4.42735837929041
23100236,-4.77754264864053
23100238,-4.90349997214875
23100240,-10.2655630111694
23100242,-8.01772876696043
23100244,-7.48017200622428
23100246,-6.84893674664625
23100248,-6.26161587648784
23100250,-6.17927323717617
23100252,-8.11918640771921
23100254,-5.6671779144449
23100258,-5.94100490647458
23100260,-5.81892854217738
23100262,-6.09468841552734
23100264,-6.10673771411201
23100266,-5.40033522121158
23100268,-5.94100490647458
23100270,-5.84902876793739
23100272,-5.41219926762196
23100274,-5.26706772732823
23100276,-6.94195376960472
23100278,-5.2281994658031
23100280,-5.09185289714722
23100282,-5.58883502624481
23100284,-4.7136436763066
23100286,-5.02526269853862
23100288,-5.02244199518117
23100290,-6.4467239538629
23100292,-5.41685792614007
23100294,-5.21375204400649
23100296,-4.19335069879189
23100298,-4.83683862502298
23100300,-5.08465821531733
23100302,-4.98204893116926
23100304,-4.95065403441064
23100306,-5.25283687552566
23100308,-4.77908598451094
23100310,-4.5957445876714
23100312,-4.67428044531609
23100314,-5.00328698796973
23100316,-6.51812758968934
23100318,-6.39588199380796
23100320,-6.47846965872129
23100322,-4.91324794490711
23100324,-5.19289460691852
23100326,-6.9515581964496
23100328,-6.12383991517437
23100330,-5.62943140123295
23100332,-6.14236601484999
23100334,-6.10997041383658
23100336,-5.88432293488416
23100338,-5.32315098647328
23100340,-5.30587761877253
23100342,-5.18389796178603
23100344,-4.73491554539638
23100346,-4.9450538843001
23100348,-4.84505591549252
23100350,-4.47575451137044
23100352,-4.70411636526456
23100354,-5.24563637249898
23100356,-4.54362637437645
23100358,-4.44776751339241
23100360,-4.68855238419274
23100362,-4.66788990429279
23100364,-4.51253355198803
23100366,-4.48216962456943
23100368,-4.7049621927533
23100370,-4.66128013125258
23100372,-4.30183479012998
23100374,-4.8174027654063
23100376,-4.74631314817942
23100378,-6.85366106033325
23100380,-5.68423950933427
23100382,-5.07265319729525
23100384,-6.34284849809903
23100386,-5.65403845818686
23100388,-5.52384975432073
23100390,-5.09619943741906
23100392,-5.48349106797348
23100394,-5.20036312844291
23100396,-6.58653258701418
23100398,-5.31008763350887
23100400,-5.13152602184618
23100402,-4.91194900590136
23100404,-4.59109722376686
23100406,-5.84761571884155
23100408,-5.21936590529211
