"comid","logq_hz_vertical_m_div_s_fill"
23099570,-4.39560220768604
23099572,-4.2430111232631
23099576,-6.32882715728492
23099578,-3.46002937312988
23099580,-6.33498217458753
23099582,-6.29869111477193
23099584,-6.30918394201908
23099586,-6.3101585908625
23099588,-6.30294510772743
23099590,-6.34418950550475
23099594,-4.50224128171273
23099596,-4.6176677128037
23099598,-4.33753399894406
23099600,-4.37094226075709
23099602,-3.99908893786878
23099606,-6.31884925006758
23099608,-4.0579949250072
23099610,-6.05266432405126
23099612,-6.31051355163575
23099614,-6.8784401558125
23099616,-7.33161408331
23099618,-7.3585258894959
23099620,-7.35163998901907
23099622,-6.53970367324252
23099624,-7.00086945871263
23099626,-6.96738123914928
23099628,-6.83983170704149
23099630,-6.67468962828894
23099632,-6.71624661666747
23099634,-6.56035157043653
23099636,-6.87712907713556
23099638,-6.77417400853811
23099640,-6.78041547378575
23099642,-7.02918838912748
23099644,-6.9931062920521
23099646,-6.70907544061725
23099648,-6.9100948885606
23099650,-6.87386859273802
23099652,-7.09528445472132
23099654,-8.67021465301514
23099656,-4.1660284478295
23099658,-3.15924921849088
23099660,-2.92143509304928
23099662,-5.11218584911708
23099664,-5.89623047680633
23099666,-6.5600360640791
23099668,-6.44454278279535
23099670,-6.47262791717239
23099672,-6.34534224535048
23099674,-6.37212230542003
23099676,-4.15403919194136
23099678,-5.93233411802575
23099680,-4.91679489494094
23099682,-6.3243132913006
23099684,-6.31184724440843
23099686,-6.40693556834128
23099688,-6.28033731698195
23099690,-6.33913452199613
23099692,-6.30346888003039
23099694,-5.97110355486853
23099696,-6.47146893936459
23099698,-6.06981534770138
23099700,-6.3082114755973
23099702,-5.90629821519445
23099704,-6.22562904015008
23099706,-6.32990455627441
23099708,-6.38806437495988
23099710,-6.31122434472716
23099712,-6.40208552879747
23099714,-4.67747680548127
23099716,-4.18108954335058
23099718,-5.94692155651658
23099720,-5.65356878134018
23099722,-6.32166375326782
23099724,-3.93767528453394
23099726,-6.33320131633383
23099728,-4.62060745074025
23099730,-4.4669235219945
23099732,-6.22753159694672
23099734,-4.83426317890108
23099736,-5.79452496325911
23099738,-6.31677279395856
23099742,-4.70528032564772
23099744,-6.3226668485801
23099746,-6.32303218570524
23099748,-4.09094326844185
23099750,-6.27835423371025
23099752,-6.2954205503037
23099754,-6.23642227553335
23099756,-4.88691606425701
23099758,-3.70842781589511
23099760,-4.06672940727352
23099762,-3.40128946766959
23099764,-3.51765646469663
23099766,-4.63210573849698
23099768,-3.61118131286445
23099770,-5.3161607819045
23099772,-6.32039042822024
23099774,-3.88561355935596
23099776,-3.54156643071121
23099778,-4.29422435241514
23099780,-4.61181351165241
23099782,-5.21033469325389
23099784,-4.29260868786913
23099786,-4.33366831931594
23099788,-3.7620410155422
23099790,-3.7447207392573
23099792,-3.92732961770497
23099794,-3.87535657544633
23099796,-4.83177661507766
23099798,-3.96347649770371
23099800,-5.45646584546986
23099802,-3.86745855885629
23099804,-3.75155000754789
23099806,-4.23332174918845
23099808,-3.87070559889855
23099810,-3.7115204939273
23099812,-5.93692947435704
23099814,-3.68557972269792
23099816,-3.71376679793066
23099818,-3.50835890654632
23099820,-4.19365990944559
23099822,-3.40595756797345
23099824,-3.36295489934947
23099826,-4.50817483912264
23099828,-4.74686319329212
23099830,-3.27647578216609
23099832,-3.42207538524265
23099834,-3.4923100550943
23099836,-4.18381108372313
23099838,-4.82607402097146
23099840,-6.32513885926219
23099842,-5.70223948890087
23099844,-4.80685313070469
23099846,-3.77760351629504
23099848,-3.39658127459958
23099850,-3.36437965286429
23099852,-4.44173074490511
