"comid","logRT_lateral_hz_s_fill"
23099610,6.11244857932854
23099612,6.28184986114502
23099614,7.02442771914467
23099616,7.59517825487553
23099618,7.54564120493684
23099620,7.4877570567077
23099622,6.62015125761235
23099624,7.04034462113586
23099626,6.90292312540647
23099628,6.80802834317722
23099630,6.58836679699063
23099632,6.64296478648737
23099634,6.05562505893831
23099636,6.393433478236
23099638,6.23985281782352
23099640,6.18396950252606
23099642,6.45987797901703
23099644,6.34372575560673
23099646,5.99916498103352
23099648,6.25057706890099
23099650,6.25799675836834
23099652,6.01489156528942
23099654,6.13527488708496
23099656,6.2443877075784
23099658,4.45511660020876
23099660,4.05530795736681
23099662,6.21269989013672
23099664,5.70506585814046
23099666,6.78635358810425
23099668,5.9066743850708
23099670,6.05848550796509
23099672,5.4758563041687
23099674,6.77093315124512
23099676,6.27831967201529
23099678,8.16966930698262
23099680,7.09408248277567
23099682,-5.84163750790475
23099684,-1.27408771463103
23099686,3.81157803535461
23099688,8.49880660693537
23099690,6.07919854432827
23099692,6.69308302419966
23099694,8.49880660693537
23099696,8.26457624833099
23099698,8.49880660693537
23099700,7.8053794739639
23099702,8.32984360220136
23099704,8.49880660693537
23099706,8.86084175109863
23099708,6.39689683914185
23099710,5.78204732902773
23099712,3.48137664794922
23099714,6.80346755548362
23099716,6.07163614282087
23099718,8.49880660693537
23099720,7.94450096194022
23099722,3.68958854675293
23099724,5.9045035175007
23099726,-6.44369749923271
23099728,6.74723030394842
23099730,6.42857529367992
23099732,8.49880660693537
23099734,7.03147671838703
23099736,8.16160781998817
23099738,6.16331100463867
23099742,6.88092286857641
23099744,6.23588255556252
23099746,4.68233895058464
23099748,6.16927288062721
23099750,8.49880660693537
23099752,8.49880660693537
23099754,8.49880660693537
23099756,7.14800835164891
23099758,5.71094516371811
23099760,6.10805549055967
23099762,5.26531454270734
23099764,5.41393567943682
23099766,6.80080681907109
23099768,5.57445687306419
23099770,7.63301649758213
23099772,6.85145473480225
23099774,5.84942819895775
23099776,5.47875907179939
23099778,6.34489182261476
23099780,6.80862149341981
23099782,7.53029108047485
23099784,5.45706844329834
23099786,6.3878354478445
23099788,5.71849913076998
23099790,5.74409451113059
23099792,5.93670625788536
23099794,5.87812140369264
23099796,7.062388618904
23099798,6.02442538747074
23099800,7.74926367462719
23099802,5.90522991944751
23099804,5.76445303802158
23099806,6.32524297738885
23099808,5.8913750213924
23099810,5.71472837434966
