"comid","logRT_vertical_hz_s_fill"
23099710,6.50729654766104
23099712,4.01977822627254
23099714,5.17402772029636
23099716,4.67765531327518
23099718,6.20699060021234
23099720,6.06091346581026
23099722,6.50681111732141
23099724,4.42596694910282
23099726,4.02179279263062
23099728,5.10980725438185
23099730,4.9544924460092
23099732,6.41615345428784
23099734,5.24681435368259
23099736,6.2068131610045
23099738,6.50941960800909
23099742,5.11875972293477
23099744,6.50805957837653
23099746,6.50785921538856
23099748,4.57627660501622
23099750,6.69361774065246
23099752,6.70771793018365
23099754,6.65759087316594
23099756,5.30004462267637
23099758,4.19336937560311
23099760,4.55223663341098
23099762,3.88552741064241
23099764,4.00235090290404
23099766,5.04875408224336
23099768,4.09604347027004
23099770,5.72438234687584
23099772,6.51110992843317
23099774,4.37050467745913
23099776,4.0259464099665
23099778,4.77953551531695
23099780,5.028841772962
23099782,5.61914033924758
23099784,4.77638367620692
23099786,4.81926769829026
23099788,4.24680287894846
23099790,4.22940341563293
23099792,4.41231495118619
23099794,4.36028334095697
23099796,5.2458636950809
23099798,4.44856443756395
23099800,5.86613500030922
23099802,4.35241101291905
23099804,4.2364618030287
23099806,4.71733174849683
23099808,4.35587626745142
23099810,4.19654382705496
23099812,6.18631938936038
23099814,4.16999378545308
23099816,4.19849816168551
23099818,3.99275061561719
23099820,4.67931717557905
23099822,3.89027701497308
23099824,3.84709626863251
23099826,4.93479445408039
23099828,5.16979188017992
23099830,3.76139578321683
23099832,3.90802627939499
23099834,3.9784428856336
23099836,4.67103471159684
23099838,5.24858511567217
23099840,6.51835811543847
23099842,6.12472292488916
23099844,5.2305243778563
23099846,4.26784209975843
23099848,3.88698805849805
23099850,3.85455258872533
23099852,4.87654631258312
23099854,3.91146931752434
23099856,4.12890398635642
23099858,4.85522994865563
23099860,3.83196741787237
23099862,3.88486597435086
23099864,3.81327968642561
23099866,3.64469307010013
23099868,3.8165819167335
23099870,3.62061752641182
23099872,3.89826959270313
23099874,3.76180674893143
23099876,5.84371923804081
23099878,3.70650530749825
23099880,5.40009013642169
23099882,6.79111671447754
23099884,5.27770872555817
23099886,4.27286923974815
23099888,4.15427781750518
23099890,3.86179566518162
23099892,4.69492274251748
23099894,3.61326792599011
23099896,3.50486398807314
23099898,2.98308874937236
23099900,3.93443912590047
23099902,3.72604048971937
23099906,4.30088536648207
23099908,3.75919068480593
23099910,3.58240768182647
23099912,4.20299265086711
23099914,3.08188712509453
23099916,4.21434561484813
23099918,4.05285062561344
23099920,6.70616038254551
23099922,3.52371739382286
23099924,3.69394357315769
23099926,3.85004606862784
23099928,3.91173594132686
23099930,3.67843714996526
23099932,3.88841305340466
23099934,4.56615113558693
23099936,3.73013061293763
23099938,3.78266346580442
23099940,4.36134969551431
23099942,3.08422735327381
23099944,4.39949285817475
23099946,3.09642051484444
23099948,3.90385424048263
23099950,2.60566123802042
23099952,3.51034066112713
23099954,3.91040728758209
23099956,3.6862426520517
23099958,2.24412979642002
23099960,3.27883562516761
23099962,3.79791992962283
23099964,3.92791137060582
23099966,4.22107880864879
23099968,3.93791685589852
23099970,3.99912249399098
23099972,3.49826591737666
23099974,3.85310437728303
23099976,3.23680077348082
23099978,3.87394414701212
23099980,4.20893279884507
23099982,3.80279480957848
23099984,4.24128836761381
23099986,3.68706705965353
23099988,3.15460660011405
23099990,3.58308030380413
23099992,3.66382190852572
23099994,4.13204933994724
23099996,4.35752772191204
23099998,3.44047605439062
23100000,3.99462903553567
23100002,3.41758014734315
23100004,4.22896485375642
23100006,3.43172183461327
23100008,2.97755697792441
23100010,3.46187690160438
23100012,3.62227948549554
23100014,4.23517065776857
23100016,3.67311024427648
23100018,4.03739869029178
23100020,6.02271445797427
23100022,6.13843107223511
23100024,5.86874475469446
23100026,5.77915334701538
23100028,6.16120052337646
23100030,6.83384737895492
23100034,5.69907522201538
23100038,5.76750763373586
23100052,6.50522089442262
23100054,6.61512096501296
23100056,6.54204654693604
23100058,6.0706429058825
23100060,5.94185803519983
23100062,6.03210254064086
23100064,6.64741326355681
23100066,5.80601115386506
23100068,5.01582150639285
23100070,4.81144770762972
23100072,4.89189380611154
23100074,4.8297743363379
23100076,4.69606676583903
23100078,4.61772323315488
23100080,4.63917036477498
23100082,4.77120710730677
23100084,4.43863299813001
23100086,3.97986984117596
23100088,4.00483237727555
23100090,4.31739065865566
23100092,4.17487381019099
23100094,3.69233541652017
23100096,4.2012147601122
23100098,3.60288967094685
23100100,3.35317627450107
23100102,3.78767414551012
23100104,4.02974347462966
23100106,4.15180864452674
23100108,3.98635230802644
23100110,4.46828873484921
23100112,4.12784116941751
23100114,4.06318538860662
23100116,3.48217441365791
23100118,3.63326759899339
23100120,3.84094398909367
23100122,3.38296677078467
23100124,3.35971898743709
23100126,3.98639494491553
23100128,4.5199303304251
23100130,4.73342765388697
23100132,4.90673744382608
23100134,4.58742945662162
23100136,4.18116324084085
23100138,4.23037020749895
23100140,4.01074783453847
23100142,3.0964994101628
23100144,4.82106567828659
23100146,4.99794126616865
23100148,5.06480663972168
23100150,4.78856072910565
23100152,3.90019595904821
23100154,4.34495680798167
23100156,3.67384909233785
23100158,4.76484539347896
23100160,4.55101714047829
23100162,4.65567163554667
23100164,6.10826508526291
23100166,3.17906761246515
23100168,4.08397038405605
23100170,4.16106803659307
23100172,3.48483339921317
23100174,3.63756394403103
23100176,3.66138797096215
23100178,4.30542325973511
23100180,3.34372236718597
23100182,3.90121964587841
23100184,3.78813198235149
23100186,3.71679864079865
23100188,3.66478959641427
23100190,4.01509065862636
23100192,3.94804539788366
23100194,2.50749911769968
23100196,3.448731377328
23100198,3.88790141491755
23100200,3.99952407497388
23100202,4.19329137285137
23100204,3.95300135253343
23100206,4.26313895191389
23100208,4.24211453884098
23100210,4.20317798243291
23100212,4.42424992030056
23100214,4.19846755730138
23100216,4.10132944015608
23100218,4.3695946220321
23100220,3.84096503334981
23100222,3.79796357487537
23100224,3.7545579949062
23100226,4.31692493997614
23100228,3.88149544446285
23100230,3.84302431807651
23100232,3.85598410084179
23100234,4.0727635549766
23100236,4.40336763934121
23100238,4.40727016234166
23100240,7.09870004653931
23100242,6.93651374247889
23100244,6.12980963624699
23100246,5.46479197300204
23100248,4.73625755425461
23100250,4.93653681585035
23100252,6.24205354765091
23100254,4.38908447939745
23100258,4.60004183867307
23100260,4.8246616386317
23100262,6.11024141311646
23100264,4.55460203361366
23100266,3.82411805729049
23100268,4.43567434316156
23100270,4.53833153551615
23100272,4.61318699482317
23100274,4.07958882206699
23100276,4.98876720251461
23100278,3.91325255323282
23100280,4.09122482113423
23100282,3.79037218566181
23100284,4.21061541835444
23100286,4.34160521802679
23100288,4.34740590983688
23100290,4.17103892089661
23100292,4.25798488071226
23100294,4.14525575275889
23100296,3.67712043702155
23100298,4.01380358667554
23100300,3.83169627131265
23100302,3.66655906619428
23100304,3.60248665977233
23100306,3.64496793443493
23100308,4.68067961294874
23100310,3.90000299427416
23100312,4.36294127222345
23100314,4.11802156301535
23100316,4.41719858008757
23100318,4.06261325792353
23100320,4.80099418211544
23100322,4.37502568952387
23100324,4.57841000963947
23100326,5.22712402633504
23100328,4.73458307997144
23100330,4.33576886328667
23100332,4.39473019707054
23100334,4.71794306514332
23100336,4.21574880369836
23100338,4.06325520637318
23100340,4.03240817711107
23100342,3.44993961024217
23100344,3.89244545807139
23100346,4.2325247447082
23100348,3.65194205564971
23100350,4.12236948993879
23100352,3.78597468553455
23100354,3.2309764393406
23100356,4.23607706891047
23100358,4.00520594810992
23100360,4.38303626358473
23100362,4.19613784630227
23100364,3.85135359355785
23100366,3.85712919097712
23100368,4.02635019334651
23100370,3.79284201748168
23100372,3.93952013603615
23100374,3.90708944259547
23100376,4.29126195394419
23100378,3.72792438191108
23100380,4.01437667066515
23100382,4.27496374811152
23100384,4.66337183419174
23100386,4.39957629095193
23100388,4.42280562601425
23100390,3.27551622490028
23100392,4.37087914117354
23100394,4.1459274069564
23100396,4.69357808355815
23100398,4.05060410484071
23100400,4.32808764586089
23100402,3.97336830535827
23100404,3.95344718402005
23100406,4.8447642326355
23100408,4.08491116437146
23100410,4.35408869834485
23100412,4.34639717604323
23100414,3.49007178195614
23100416,3.94754119083596
23100418,4.14738602004523
23100420,3.76094212779568
23100422,3.96238582367515
23100424,4.35398427265439
23100426,4.16619416833173
23100428,4.21146203693566
23100430,3.2918008627299
23100432,3.66944145734963
23100434,4.2749698900215
23100436,4.29942042513236
23100438,4.53101625238666
23100440,3.86491375953536
23100442,4.08073002521161
23100444,3.88481811683431
23100446,4.08019253116699
23100448,4.25256480795911
23100450,7.39071416854858
23100452,6.93651374247889
23100454,5.94480905445601
23100456,5.65933920298063
23100458,6.27530443060487
23100460,6.01001119715847
23100462,5.88176390929809
23100464,5.77094848033074
23100466,6.21441541405827
23100468,5.43922757797407
23100470,5.79497773101616
23100472,5.89216694405771
23100474,5.92157752442612
23100476,5.82947990249315
23100478,5.96884852818919
23100480,5.78661296959953
23100482,5.82712353358833
23100484,5.99471066077447
23100486,6.41243138570433
23100488,5.95911026898408
23100490,5.86313629150391
23100492,5.62854719161987
23100494,4.30081029894055
23100496,3.93429482364439
23100498,4.86306887812908
23100500,4.96601529537216
23100502,4.40457812133135
23100504,4.38310532624593
23100506,3.82371247287426
23100508,4.14189497780223
23100510,4.26395900505035
23100512,3.88688745205076
23100514,3.35132677150204
23100516,3.79189161112463
23100518,3.27366013936189
23100520,3.60230070369926
23100522,4.03429918676343
23100524,4.29811409837229
23100526,3.37820417311633
23100528,4.50742675510304
23100530,5.56625652313232
23100532,7.18997049331665
23100534,5.60516445709422
23100536,6.36242697778698
23100538,6.04799476998495
23100540,5.97660227582219
23100542,6.7195972067854
23100544,5.7709778635061
23100546,6.20965069177965
23100548,5.79275519980913
23100550,5.8969060937636
23100552,6.33767523681089
23100554,5.56578325945126
23100556,5.95639723095734
23100558,5.70391426374588
23100560,5.72124302228825
23100562,5.74205976349375
23100564,6.12494881169863
23100566,6.35801993554746
23100568,5.90893051687347
23100570,5.84311588523019
23100572,3.94342223643848
23100574,4.47897068482941
23100576,3.64278734573966
23100578,4.71535924602967
23100580,4.19482999543264
23100582,4.03503885332496
23100584,4.63431497564616
23100586,3.97885230597664
23100588,3.63892927251398
23100590,4.02562145019261
23100592,6.05058115612801
23100594,6.5151372745576
23100596,5.3508913727444
23100600,4.48783188776074
23100602,4.93530305843355
23100604,4.30432147775011
23100606,4.86489324192143
23100608,4.26113938988949
23100610,4.2617084348799
23100612,4.43265239275049
23100614,4.04291884132929
23100620,5.03002942575486
23100622,5.71719454582304
23100624,4.71870061802321
23100626,4.05207633972168
23100628,5.75925413943269
23100630,3.80769745672752
23100632,5.21971797467197
23100634,5.13404867335634
23100640,5.8360657102268
23100642,4.92765305842423
23100654,4.74398550276865
23100656,4.7173294280228
23100660,5.27673819208543
23100662,5.90097236633301
23100664,4.44086601591229
23100670,5.50626567359297
23100672,4.80933757665393
23100676,5.73814665564914
23100678,6.35008430480957
23100680,5.73942899703979
23100682,4.888410851923
23100684,4.75659499683926
23100686,5.34197868119222
23100688,6.90162767849447
23100690,5.91161727905273
23100692,6.38371896619399
23100694,5.95605182647705
23100696,5.8766061715503
23100698,5.5863371970854
23100700,5.9594350063434
23100704,4.39152334264088
23100706,3.26572001146885
23100708,4.93848241846051
23100710,4.32552324713682
23100712,5.72588491439819
23100714,5.48203657053749
23100716,5.26366217372962
23100718,6.18609978179769
23100720,5.26585215627387
23100722,6.0919976234436
23100724,4.82902590099238
23100726,4.51545696336986
23100728,5.25356740076581
23100730,5.39013420573095
23100732,4.92358395115044
23100734,5.38707866724215
23100738,5.47984719722407
23100740,4.10453868684244
23100742,5.71168804168701
23100744,5.92357422589646
23100746,4.17975971154666
23100748,4.0949348400675
23100750,3.85174996131661
23100756,5.41357042189157
23100758,5.68284442903313
23100760,4.1815962622327
23100762,6.31814956665039
